A	B	Bell_Schedule_ID	C	Cycle_Day_ID	D	Date	E	F	ID	InSession	MembershipValue	Note	ScheduleID	SchoolID	Type	Week_Num
0	0	402	0	401	0	11/7/18	0	0	5567	1	1		A	123711		0
0	0	0	0	0	0	11/8/18	0	0	5568	0	0		A	123711	P	0
0	0	0	0	0	0	11/9/18	0	0	5569	0	0		A	123711	P	0
0	0	0	0	0	0	11/10/18	0	0	5570	0	0		A	123711		0
0	0	0	0	0	0	11/11/18	0	0	5571	0	0		A	123711		0
0	0	0	0	0	0	11/12/18	0	0	5572	0	0		A	123711	H	0
0	0	401	0	401	0	11/13/18	0	0	5573	1	1		A	123711		0
0	0	402	0	401	0	11/14/18	0	0	5574	1	1		A	123711		0
0	0	401	0	401	0	11/15/18	0	0	5575	1	1		A	123711		0
0	0	0	0	0	0	11/16/18	0	0	5576	0	0	Air Quality	A	123711	W	0
0	0	0	0	0	0	11/17/18	0	0	5577	0	0		A	123711		0
0	0	0	0	0	0	11/18/18	0	0	5578	0	0		A	123711		0
0	0	0	0	0	0	11/19/18	0	0	5579	0	0		A	123711	H	0
0	0	0	0	0	0	11/20/18	0	0	5580	0	0		A	123711	H	0
0	0	0	0	0	0	11/21/18	0	0	5581	0	0		A	123711	H	0
0	0	0	0	0	0	11/22/18	0	0	5582	0	0		A	123711	H	0
0	0	0	0	0	0	11/23/18	0	0	5583	0	0		A	123711	H	0
0	0	0	0	0	0	11/24/18	0	0	5584	0	0		A	123711		0
0	0	0	0	0	0	11/25/18	0	0	5585	0	0		A	123711		0
0	0	401	0	401	0	11/26/18	0	0	5586	1	1		A	123711		0
0	0	401	0	401	0	11/27/18	0	0	5587	1	1		A	123711		0
0	0	402	0	401	0	11/28/18	0	0	5588	1	1		A	123711		0
0	0	401	0	401	0	11/29/18	0	0	5589	1	1		A	123711		0
0	0	401	0	401	0	11/30/18	0	0	5590	1	1		A	123711		0
0	0	0	0	0	0	12/1/18	0	0	5591	0	0		A	123711		0
0	0	0	0	0	0	12/2/18	0	0	5592	0	0		A	123711		0
0	0	401	0	401	0	12/3/18	0	0	5593	1	1		A	123711		0
0	0	401	0	401	0	12/4/18	0	0	5594	1	1		A	123711		0
0	0	402	0	401	0	12/5/18	0	0	5595	1	1		A	123711		0
0	0	401	0	401	0	12/6/18	0	0	5596	1	1		A	123711		0
0	0	401	0	401	0	12/7/18	0	0	5597	1	1		A	123711		0
0	0	0	0	0	0	12/8/18	0	0	5598	0	0		A	123711		0
0	0	0	0	0	0	12/9/18	0	0	5599	0	0		A	123711		0
0	0	401	0	401	0	12/10/18	0	0	5600	1	1		A	123711		0
0	0	401	0	401	0	12/11/18	0	0	5601	1	1		A	123711		0
0	0	402	0	401	0	12/12/18	0	0	5602	1	1		A	123711		0
0	0	401	0	401	0	12/13/18	0	0	5603	1	1		A	123711		0
0	0	401	0	401	0	12/14/18	0	0	5604	1	1		A	123711		0
0	0	0	0	0	0	12/15/18	0	0	5605	0	0		A	123711		0
0	0	0	0	0	0	12/16/18	0	0	5606	0	0		A	123711		0
0	0	401	0	401	0	12/17/18	0	0	5607	1	1		A	123711		0
0	0	401	0	401	0	12/18/18	0	0	5608	1	1		A	123711		0
0	0	402	0	401	0	12/19/18	0	0	5609	1	1		A	123711		0
0	0	401	0	401	0	12/20/18	0	0	5610	1	1		A	123711		0
0	0	401	0	401	0	12/21/18	0	0	5611	1	1		A	123711		0
0	0	0	0	0	0	12/22/18	0	0	5612	0	0		A	123711		0
0	0	0	0	0	0	12/23/18	0	0	5613	0	0		A	123711		0
0	0	0	0	0	0	12/24/18	0	0	5614	0	0		A	123711	H	0
0	0	0	0	0	0	12/25/18	0	0	5615	0	0		A	123711	H	0
0	0	0	0	0	0	12/26/18	0	0	5616	0	0		A	123711	H	0
0	0	0	0	0	0	12/27/18	0	0	5617	0	0		A	123711	H	0
0	0	0	0	0	0	12/28/18	0	0	5618	0	0		A	123711	H	0
0	0	0	0	0	0	12/29/18	0	0	5619	0	0		A	123711		0
0	0	0	0	0	0	12/30/18	0	0	5620	0	0		A	123711		0
0	0	0	0	0	0	12/31/18	0	0	5621	0	0		A	123711	H	0
0	0	0	0	0	0	1/1/19	0	0	5622	0	0		A	123711	H	0
0	0	0	0	0	0	1/2/19	0	0	5623	0	0		A	123711	H	0
0	0	0	0	0	0	1/3/19	0	0	5624	0	0		A	123711	H	0
0	0	0	0	0	0	1/4/19	0	0	5625	0	0		A	123711	H	0
0	0	0	0	0	0	1/5/19	0	0	5626	0	0		A	123711		0
0	0	0	0	0	0	1/6/19	0	0	5627	0	0		A	123711		0
0	0	0	0	0	0	1/7/19	0	0	5628	0	0		A	123711	P	0
0	0	401	0	401	0	1/8/19	0	0	5629	1	1		A	123711		0
0	0	402	0	401	0	1/9/19	0	0	5630	1	1		A	123711		0
0	0	401	0	401	0	1/10/19	0	0	5631	1	1		A	123711		0
0	0	401	0	401	0	1/11/19	0	0	5632	1	1		A	123711		0
0	0	0	0	0	0	1/12/19	0	0	5633	0	0		A	123711		0
0	0	0	0	0	0	1/13/19	0	0	5634	0	0		A	123711		0
0	0	401	0	401	0	1/14/19	0	0	5635	1	1		A	123711		0
0	0	401	0	401	0	1/15/19	0	0	5636	1	1		A	123711		0
0	0	402	0	401	0	1/16/19	0	0	5637	1	1		A	123711		0
0	0	401	0	401	0	1/17/19	0	0	5638	1	1		A	123711		0
0	0	401	0	401	0	1/18/19	0	0	5639	1	1		A	123711		0
0	0	0	0	0	0	1/19/19	0	0	5640	0	0		A	123711		0
0	0	0	0	0	0	1/20/19	0	0	5641	0	0		A	123711		0
0	0	0	0	0	0	1/21/19	0	0	5642	0	0		A	123711	H	0
0	0	401	0	401	0	1/22/19	0	0	5643	1	1		A	123711		0
0	0	402	0	401	0	1/23/19	0	0	5644	1	1		A	123711		0
0	0	401	0	401	0	1/24/19	0	0	5645	1	1		A	123711		0
0	0	401	0	401	0	1/25/19	0	0	5646	1	1		A	123711		0
0	0	0	0	0	0	1/26/19	0	0	5647	0	0		A	123711		0
0	0	0	0	0	0	1/27/19	0	0	5648	0	0		A	123711		0
0	0	401	0	401	0	1/28/19	0	0	5649	1	1		A	123711		0
0	0	401	0	401	0	1/29/19	0	0	5650	1	1		A	123711		0
0	0	402	0	401	0	1/30/19	0	0	5651	1	1		A	123711		0
0	0	401	0	401	0	1/31/19	0	0	5652	1	1		A	123711		0
0	0	401	0	401	0	2/1/19	0	0	5653	1	1		A	123711		0
0	0	0	0	0	0	2/2/19	0	0	5654	0	0		A	123711		0
0	0	0	0	0	0	2/3/19	0	0	5655	0	0		A	123711		0
0	0	401	0	401	0	2/4/19	0	0	5656	1	1		A	123711		0
0	0	401	0	401	0	2/5/19	0	0	5657	1	1		A	123711		0
0	0	402	0	401	0	2/6/19	0	0	5658	1	1		A	123711		0
0	0	401	0	401	0	2/7/19	0	0	5659	1	1		A	123711		0
0	0	401	0	401	0	2/8/19	0	0	5660	1	1		A	123711		0
0	0	0	0	0	0	2/9/19	0	0	5661	0	0		A	123711		0
0	0	0	0	0	0	2/10/19	0	0	5662	0	0		A	123711		0
0	0	401	0	401	0	2/11/19	0	0	5663	1	1		A	123711		0
0	0	401	0	401	0	2/12/19	0	0	5664	1	1		A	123711		0
0	0	402	0	401	0	2/13/19	0	0	5665	1	1		A	123711		0
0	0	401	0	401	0	2/14/19	0	0	5666	1	1		A	123711		0
0	0	401	0	401	0	2/15/19	0	0	5667	1	1		A	123711		0
0	0	0	0	0	0	2/16/19	0	0	5668	0	0		A	123711		0
0	0	0	0	0	0	2/17/19	0	0	5669	0	0		A	123711		0
0	0	0	0	0	0	2/18/19	0	0	5670	0	0		A	123711	H	0
0	0	401	0	401	0	2/19/19	0	0	5671	1	1		A	123711		0
0	0	402	0	401	0	2/20/19	0	0	5672	1	1		A	123711		0
0	0	401	0	401	0	2/21/19	0	0	5673	1	1		A	123711		0
0	0	0	0	0	0	2/22/19	0	0	5674	0	0		A	123711	P	0
0	0	0	0	0	0	2/23/19	0	0	5675	0	0		A	123711		0
0	0	0	0	0	0	2/24/19	0	0	5676	0	0		A	123711		0
0	0	401	0	401	0	2/25/19	0	0	5677	1	1		A	123711		0
0	0	401	0	401	0	2/26/19	0	0	5678	1	1		A	123711		0
0	0	402	0	401	0	2/27/19	0	0	5679	1	1		A	123711		0
0	0	401	0	401	0	2/28/19	0	0	5680	1	1		A	123711		0
0	0	401	0	401	0	3/1/19	0	0	5681	1	1		A	123711		0
0	0	0	0	0	0	3/2/19	0	0	5682	0	0		A	123711		0
0	0	0	0	0	0	3/3/19	0	0	5683	0	0		A	123711		0
